elevation,slope,aspect,tpi,ndvi,ndmi,ndwi,mndwi,ndfi,evi,ibi,ndbi,ui,mvi,nbr,savi,evi2,bui,kndvi
693,3,72,2,5706,469,-5294,-4947,3806,3026,-3652,-469,-3386,1150,3386,2957,2804,-8345,1411
642,1,315,19,7698,2450,-6697,-5082,8223,4552,6959,-2450,-5396,1966,5396,4198,4130,-9873,2945
626,3,236,-1,5933,1312,-5421,-4419,5298,3773,4807,-1312,-4283,1506,4283,3566,3470,-8162,2413
662,12,266,0,7964,2823,-6862,-5013,8909,4739,7865,-2823,-5954,2179,5954,4341,4287,-10408,3129
713,3,124,2,6520,1020,-5670,-4938,4977,3852,1794,-1020,-3871,1345,3871,3561,3443,-8870,2155
666,3,315,-10,7984,3069,-7004,-5003,9372,4624,8111,-3069,-6304,2351,6304,4358,4306,-10516,3172
715,1,0,5,7629,2637,-6619,-4824,8465,4643,8122,-2637,-5632,2107,5632,4283,4231,-9767,3152
615,3,270,12,7453,1879,-6440,-5193,7556,4026,4269,-1879,-5163,1678,5163,3692,3562,-10134,2094
557,10,285,-2,7063,1252,-6314,-5508,5423,4297,1862,-1252,-3796,1417,3796,3979,3906,-9109,2797
572,2,180,-3,8352,3190,-7466,-5611,9488,5163,7810,-3190,-6411,2306,6411,4826,4849,-11086,4046
565,5,169,13,8055,3374,-7039,-4807,9712,5480,10012,-3374,-6482,2577,6482,4805,4835,-10411,4156
633,3,135,1,5333,238,-4889,-4695,2342,2861,-7872,-238,-2286,1099,2286,2774,2619,-7226,1266
529,5,217,-5,8161,3211,-7149,-5110,9396,5375,9109,-3211,-6370,2403,6370,4813,4841,-10678,4120
561,5,11,1,6247,1471,-5726,-4644,6154,3569,4000,-1471,-4340,1553,4340,3414,3289,-8356,1995
512,6,39,-3,6872,1156,-6433,-5716,4263,4591,1757,-1156,-3234,1373,3234,4344,4342,-8436,3745
516,3,72,-5,7694,3000,-6858,-4858,8909,4758,8609,-3000,-5773,2313,5773,4407,4373,-9461,3391
660,5,349,-4,6015,515,-5892,-5546,4181,3177,-4203,-515,-3583,1153,3583,3111,2961,-8802,1556
590,4,284,0,7289,2135,-6399,-4942,7800,4088,5706,-2135,-5218,1826,5218,3799,3686,-9584,2325
609,3,198,-5,7860,2833,-7005,-5199,8695,5203,8202,-2833,-5927,2191,5927,4700,4723,-10205,4051
564,2,116,2,7717,2666,-6867,-5141,8429,4825,7690,-2666,-5681,2085,5681,4465,4444,-9928,3540
662,7,230,-13,5791,569,-5038,-4606,3494,3157,-2695,-569,-2655,1197,2655,2969,2815,-7529,1413
579,1,90,-1,7152,1792,-6280,-5057,6891,4179,5133,-1792,-4715,1650,4715,3903,3808,-9341,2558
641,3,18,6,7603,2509,-6733,-5078,8560,4154,6280,-2509,-5725,2005,5725,3938,3833,-10046,2467
526,2,333,-5,7595,2541,-6735,-5059,8685,4152,6085,-2541,-5817,2030,5817,3858,3744,-10106,2343
655,3,270,-2,7589,2903,-6605,-4570,9255,4402,8061,-2903,-5999,2332,5999,3969,3869,-9747,2530
618,1,90,1,7820,2724,-6853,-5074,8613,5213,8703,-2724,-5963,2118,5963,4699,4717,-10342,4032
617,2,270,3,5465,1202,-5136,-4192,5069,3002,3105,-1202,-3333,1467,3333,2947,2800,-6784,1466
711,3,252,1,7716,2498,-6882,-5292,8376,4492,6395,-2498,-5595,1968,5595,4205,4136,-10065,2943
575,12,327,-5,8093,2922,-7084,-5251,8989,5292,8451,-2922,-6099,2201,6099,4766,4788,-10644,4044
668,2,90,-3,5661,847,-5014,-4351,3799,3324,1776,-847,-2994,1308,2994,3175,3043,-7262,1777
582,1,135,0,4926,-221,-4673,-4846,634,2775,-16755,221,-2141,936,2141,2719,2572,-7453,1287
534,13,176,-9,6960,1244,-6459,-5668,5600,4131,1779,-1244,-4187,1396,4187,3948,3866,-9362,2738
502,12,18,-7,7640,2756,-6723,-4869,8891,4362,7494,-2756,-5917,2167,5917,4085,4000,-9964,2736
593,3,315,6,6533,865,-5958,-5370,4498,3906,-282,-865,-3445,1272,3445,3586,3470,-8670,2191
528,4,296,-2,7053,2455,-6463,-4765,8152,4155,6970,-2455,-5262,2009,5262,3889,3796,-8793,2579
623,2,117,-1,6414,1686,-5749,-4500,6357,4044,6528,-1686,-4593,1660,4593,3779,3693,-8457,2632
526,1,315,0,7820,2185,-6965,-5637,7984,4506,4952,-2185,-5577,1790,5577,4195,4123,-10659,2904
677,5,292,-6,7248,1447,-6495,-5570,6428,4157,2590,-1447,-4706,1475,4706,3873,3769,-9975,2464
573,7,146,-14,7803,2167,-6854,-5506,7503,5038,6397,-2167,-4968,1782,4968,4550,4540,-9931,3683
573,3,270,2,7808,3313,-6873,-4609,9442,4726,9311,-3313,-6169,2573,6169,4374,4330,-9654,3266
694,7,337,13,7657,3224,-6786,-4555,9297,4952,9897,-3224,-6042,2535,6042,4530,4522,-9386,3715
580,5,270,6,8141,3119,-7128,-5156,9306,5408,9056,-3119,-6377,2334,6377,4851,4887,-10801,4224
615,2,270,1,7454,1963,-6441,-5125,7322,4519,6100,-1963,-5315,1724,5315,4180,4116,-10179,3007
685,4,346,-5,7189,1838,-6395,-5165,7136,3999,4455,-1838,-4678,1662,4678,3761,3645,-9279,2280
668,8,144,-8,8225,3172,-7300,-5368,9285,4945,7686,-3172,-6125,2342,6125,4555,4529,-10502,3486
676,5,45,5,5297,-40,-5062,-5090,1283,2925,-12006,40,-1989,994,1989,2825,2675,-7365,1337
565,4,76,0,5444,820,-5163,-4535,3499,3195,623,-820,-2876,1286,2876,3092,2958,-6946,1705
582,10,116,16,8224,2887,-7191,-5430,9097,4816,6982,-2887,-6051,2157,6051,4397,4342,-10832,3136
598,3,252,-6,6261,1076,-5411,-4602,4905,3674,2907,-1076,-3614,1387,3614,3422,3296,-8199,1992
599,5,315,-8,7280,2191,-6304,-4774,7669,4297,6888,-2191,-5056,1869,5056,3963,3872,-9280,2629
617,10,15,0,7474,2499,-6716,-5068,8356,4191,6479,-2499,-5415,1996,5415,4010,3919,-9483,2645
545,5,11,8,7997,2627,-7140,-5559,8538,5007,7075,-2627,-5743,1997,5743,4659,4662,-10478,3829
544,11,132,-4,7851,2576,-6949,-5315,8290,5443,7925,-2576,-5761,2017,5761,4737,4762,-10335,4106
633,5,202,5,6774,1444,-5939,-4919,6267,3841,3756,-1444,-4448,1514,4448,3591,3469,-9132,2134
663,3,108,1,6627,1244,-5923,-5048,5580,3888,2478,-1244,-4099,1435,4099,3602,3488,-8898,2208
570,2,180,-6,7291,2226,-6313,-4755,8182,4431,7005,-2226,-5669,1889,5669,3972,3881,-9987,2639
613,6,153,3,7678,2512,-6845,-5234,8393,4572,6894,-2512,-5677,1984,5677,4303,4252,-10104,3173
514,3,135,-9,7712,2591,-6958,-5336,8361,4813,7119,-2591,-5672,2013,5672,4464,4442,-10024,3523
645,1,45,-7,5526,1033,-5275,-4487,4222,3092,1660,-1033,-2860,1373,2860,3021,2879,-6648,1561
634,1,0,9,5886,880,-5094,-4411,4242,3276,1563,-880,-3032,1315,3032,3130,2985,-7491,1619
632,1,0,0,6421,1168,-5553,-4686,5394,4011,3776,-1168,-4370,1421,4370,3662,3560,-9051,2386
655,3,180,5,6911,1373,-6047,-5086,6291,3781,2774,-1373,-4497,1488,4497,3572,3443,-9431,2055
618,11,180,-1,5072,714,-4632,-4040,3300,3211,-236,-714,-2702,1294,2702,2880,2741,-6544,1489
566,8,221,12,7423,2722,-6803,-5015,8865,4110,6649,-2722,-5838,2124,5838,3905,3801,-9620,2465
589,1,90,3,7817,2519,-6733,-5076,8364,4775,7718,-2519,-5839,2000,5839,4424,4388,-10491,3370
565,7,337,1,7993,2407,-6899,-5386,8317,4990,6731,-2407,-5806,1909,5806,4449,4412,-10869,3354
658,2,153,4,5816,973,-5305,-4569,4888,3333,1174,-973,-3830,1354,3830,3161,3023,-8110,1701
586,2,333,0,6487,636,-5876,-5448,4585,3401,-2917,-636,-3874,1198,3874,3376,3240,-9470,1848
569,3,199,-9,4965,-264,-5282,-5469,1766,2487,-14467,264,-2555,927,2555,2527,2366,-7962,1013
612,7,83,0,7979,2639,-7144,-5551,8530,5045,6944,-2639,-5731,2007,5731,4598,4589,-10419,3690
593,14,53,-11,8208,3280,-7334,-5342,9434,5564,8996,-3280,-6435,2404,6435,4994,5060,-10757,4549
548,3,45,-11,8037,3085,-7136,-5186,9286,5293,8749,-3085,-6359,2332,6359,4763,4785,-10643,4072
715,2,207,7,7316,1950,-6510,-5221,7428,4106,4830,-1950,-5116,1712,5116,3864,3758,-9780,2435
650,1,270,18,7994,3204,-7167,-5150,9285,5278,8883,-3204,-6273,2397,6273,4775,4803,-10281,4123
569,3,135,16,7778,2642,-7023,-5375,8721,4328,6117,-2642,-5786,2037,5786,4112,4027,-10181,2738
722,5,180,8,7040,1485,-6246,-5268,6300,3983,3074,-1485,-4511,1508,4511,3770,3662,-9499,2352
634,4,104,-10,6872,1170,-6335,-5594,5523,3896,51,-1170,-3941,1388,3941,3697,3593,-9193,2335
705,4,14,17,6569,1340,-5769,-4806,6075,3764,3235,-1340,-4316,1477,4316,3459,3328,-8915,1960
528,5,169,1,7626,2588,-6682,-4945,8421,4563,7619,-2588,-5745,2065,5745,4257,4200,-9979,3093
640,7,120,0,7650,2833,-6874,-5022,8734,4860,8153,-2833,-5800,2187,5800,4449,4425,-9701,3519
